Latitude,Temperature,Humidity,Cloudiness,Wind Speed
-2.88,27.8,89,64,2.26
-2.02,28.8,100,32,3.46
70.47,2.0,100,90,4.6
-2.88,27.8,89,64,2.26
-2.02,28.8,100,32,3.46
70.47,2.0,100,90,4.6
68.22,15.0,62,75,5.7
-34.42,6.68,92,56,2.11
20.52,24.93,28,0,1.96
-23.12,24.35,96,76,7.16
-9.8,26.7,100,24,5.21
54.08,13.52,87,0,3.1
15.01,25.1,76,24,3.41
-0.74,21.33,100,12,6.11
71.98,6.93,81,56,6.61
59.7,17.0,77,0,1.0
30.78,14.38,100,92,0.66
-0.87,28.58,100,32,2.71
-1.2,25.88,84,0,4.71
58.3,19.66,53,75,4.6
-51.62,2.0,80,0,6.2
-33.64,15.33,100,44,13.11
42.65,22.0,64,75,3.6
45.36,22.25,83,1,3.01
27.97,24.45,66,0,4.66
66.04,8.48,62,0,1.61
-33.93,11.0,93,75,6.2
13.21,24.6,83,92,3.76
-33.59,16.23,91,12,9.31
73.51,2.98,100,20,7.81
60.55,20.0,64,90,3.6
50.7,16.0,82,40,5.7
41.53,27.0,12,1,1.5
45.18,24.51,78,0,3.1
70.62,4.83,100,92,4.36
12.8,27.0,83,75,4.1
21.67,24.7,89,92,6.81
-54.81,4.0,86,75,11.3
-10.46,26.43,100,80,6.46
31.37,30.01,45,75,4.1
-53.16,4.0,80,40,7.2
-11.3,16.23,73,0,2.66
31.35,25.0,88,40,2.6
69.44,7.0,93,90,7.2
42.65,27.93,72,0,1.11
-2.54,26.08,85,76,1.21
17.62,29.08,66,24,6.61
12.22,29.35,90,76,5.91
49.72,14.0,93,90,5.1
44.36,23.58,56,20,7.2
13.01,22.35,85,44,2.76
68.75,17.68,60,24,2.31
-5.36,29.08,63,12,1.36
15.34,21.53,97,100,3.36
-7.01,29.78,41,88,3.81
22.95,24.0,94,20,1.5
27.52,34.0,34,75,3.6
68.05,18.28,91,0,2.76
-15.12,18.0,100,75,2.1
-21.21,22.0,68,75,4.1
19.71,25.21,72,1,2.6
44.06,19.97,60,1,2.1
10.09,20.0,94,40,1.5
69.49,9.68,78,68,3.66
-33.21,13.58,67,0,1.86
-8.93,27.8,45,8,0.71
38.52,23.35,99,32,2.86
6.8,24.0,94,40,2.1
64.17,3.0,100,76,7.7
3.78,28.45,99,24,2.56
23.15,25.01,94,20,1.5
60.79,12.0,93,90,6.2
77.48,6.35,80,8,2.31
-30.97,-4.93,73,12,1.41
42.44,16.13,99,68,0.96
65.28,19.0,82,75,2.6
-23.58,22.83,30,0,1.66
45.16,24.16,74,0,2.6
29.94,24.97,78,90,6.7
43.52,17.42,100,40,1.5
-41.05,11.48,100,0,6.56
67.8,16.05,70,8,1.81
4.79,21.08,99,76,2.41
62.16,11.35,78,92,4.66
28.66,22.0,73,68,6.2
0.57,25.33,94,80,1.41
5.38,27.33,95,32,4.76
-34.91,4.0,86,20,1.5
39.36,17.0,82,0,4.6
55.74,15.0,47,75,1.0
71.64,10.45,78,0,6.71
-20.63,13.8,87,0,2.06
-5.11,23.95,80,0,4.06
-31.97,15.85,72,0,2.06
64.84,28.0,30,1,2.1
-0.6,28.2,100,24,3.46
60.14,5.18,91,100,1.36
63.83,18.46,88,75,4.1
-28.55,13.23,100,0,3.91
-0.39,6.08,100,68,0.86
66.83,6.18,100,44,10.11
62.45,16.0,72,75,4.6
49.96,17.0,77,40,2.0
63.05,10.1,99,88,4.71
29.05,24.7,77,68,0.86
-9.65,27.83,69,24,2.71
-37.83,12.45,88,64,1.56
-42.88,12.0,50,75,4.1
-46.28,12.93,75,0,4.56
35.61,20.19,94,90,2.6
63.93,17.33,64,0,2.51
41.35,22.0,94,0,1.0
-46.43,9.8,55,64,8.81
41.42,13.43,84,0,1.21
52.48,18.72,64,75,1.5
-26.57,1.93,58,0,1.76
14.1,25.68,75,68,5.66
22.08,28.4,74,1,4.1
-16.52,25.8,100,36,1.06
16.18,24.0,83,40,4.6
-10.41,23.83,77,88,3.16
-23.7,25.0,14,0,4.1
26.61,28.48,96,80,6.16
-34.53,12.0,66,48,2.6
67.55,4.95,65,80,6.36
-20.74,26.58,23,0,5.61
