Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Tue Jul 31 20:02:08 +0000 2018,1.0,0.0,0.0,1
0.5859,Tue Jul 31 19:01:03 +0000 2018,0.808,0.0,0.192,2
0.0,Tue Jul 31 18:02:06 +0000 2018,1.0,0.0,0.0,3
0.0,Tue Jul 31 16:33:01 +0000 2018,1.0,0.0,0.0,4
0.0,Tue Jul 31 16:01:02 +0000 2018,1.0,0.0,0.0,5
0.765,Tue Jul 31 15:19:43 +0000 2018,0.734,0.0,0.266,6
0.636,Tue Jul 31 14:02:05 +0000 2018,0.811,0.0,0.189,7
0.0,Tue Jul 31 13:00:23 +0000 2018,1.0,0.0,0.0,8
0.7717,Tue Jul 31 11:41:04 +0000 2018,0.758,0.0,0.242,9
0.6236,Tue Jul 31 11:38:00 +0000 2018,0.797,0.0,0.203,10
-0.1779,Tue Jul 31 11:07:35 +0000 2018,0.914,0.086,0.0,11
0.0,Tue Jul 31 09:50:02 +0000 2018,1.0,0.0,0.0,12
0.1877,Tue Jul 31 08:02:04 +0000 2018,0.902,0.0,0.098,13
0.3612,Tue Jul 31 07:28:06 +0000 2018,0.699,0.096,0.205,14
0.4215,Tue Jul 31 07:00:08 +0000 2018,0.808,0.0,0.192,15
-0.7181,Mon Jul 30 20:03:04 +0000 2018,0.539,0.461,0.0,16
0.0,Mon Jul 30 18:01:04 +0000 2018,1.0,0.0,0.0,17
-0.4023,Mon Jul 30 17:03:05 +0000 2018,0.886,0.114,0.0,18
0.0,Mon Jul 30 16:03:04 +0000 2018,1.0,0.0,0.0,19
0.0,Mon Jul 30 14:03:08 +0000 2018,1.0,0.0,0.0,20
-0.8074,Mon Jul 30 13:04:01 +0000 2018,0.7,0.3,0.0,21
0.2572,Mon Jul 30 12:01:06 +0000 2018,0.775,0.0,0.225,22
0.0,Mon Jul 30 11:56:23 +0000 2018,1.0,0.0,0.0,23
0.0,Mon Jul 30 11:03:01 +0000 2018,1.0,0.0,0.0,24
0.4767,Mon Jul 30 09:00:15 +0000 2018,0.871,0.0,0.129,25
0.5562,Mon Jul 30 08:13:57 +0000 2018,0.796,0.0,0.204,26
0.0,Mon Jul 30 07:27:06 +0000 2018,1.0,0.0,0.0,27
0.1759,Mon Jul 30 07:01:05 +0000 2018,0.546,0.206,0.248,28
0.0,Sun Jul 29 20:26:13 +0000 2018,1.0,0.0,0.0,29
