Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.9098,Tue Jul 31 21:02:33 +0000 2018,0.549,0.0,0.451,1
0.34,Sat Jul 28 16:43:56 +0000 2018,0.876,0.0,0.124,2
0.75,Wed Jul 25 17:25:36 +0000 2018,0.727,0.0,0.273,3
0.0,Wed Jul 25 15:12:31 +0000 2018,1.0,0.0,0.0,4
0.34,Wed Jul 25 01:05:03 +0000 2018,0.882,0.0,0.118,5
-0.1511,Tue Jul 24 18:54:14 +0000 2018,0.834,0.099,0.068,6
0.8293,Mon Jul 23 21:30:33 +0000 2018,0.66,0.0,0.34,7
0.128,Sun Jul 22 01:56:13 +0000 2018,0.927,0.0,0.073,8
-0.296,Sat Jul 21 00:55:28 +0000 2018,0.891,0.109,0.0,9
-0.296,Sat Jul 21 00:19:12 +0000 2018,0.891,0.109,0.0,10
-0.7964,Sat Jul 21 00:10:00 +0000 2018,0.736,0.264,0.0,11
-0.6597,Fri Jul 20 23:44:54 +0000 2018,0.82,0.18,0.0,12
0.3182,Fri Jul 20 22:29:36 +0000 2018,0.905,0.0,0.095,13
0.0,Fri Jul 20 21:39:09 +0000 2018,1.0,0.0,0.0,14
0.0,Fri Jul 20 15:08:23 +0000 2018,1.0,0.0,0.0,15
0.0,Tue Jul 17 17:55:25 +0000 2018,1.0,0.0,0.0,16
0.0,Tue Jul 17 17:22:29 +0000 2018,1.0,0.0,0.0,17
0.0,Tue Jul 17 17:22:29 +0000 2018,1.0,0.0,0.0,18
0.0,Tue Jul 17 17:22:29 +0000 2018,1.0,0.0,0.0,19
0.0,Tue Jul 17 17:22:29 +0000 2018,1.0,0.0,0.0,20
0.0,Tue Jul 17 17:22:29 +0000 2018,1.0,0.0,0.0,21
0.0,Tue Jul 17 17:22:28 +0000 2018,1.0,0.0,0.0,22
0.0,Tue Jul 17 17:22:28 +0000 2018,1.0,0.0,0.0,23
0.0,Tue Jul 17 17:22:28 +0000 2018,1.0,0.0,0.0,24
