Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.6249,Tue Jul 31 23:14:01 +0000 2018,0.785,0.0,0.215,1
0.4019,Tue Jul 31 23:11:05 +0000 2018,0.886,0.0,0.114,2
0.0,Tue Jul 31 23:01:05 +0000 2018,1.0,0.0,0.0,3
0.4215,Tue Jul 31 22:52:16 +0000 2018,0.781,0.074,0.145,4
0.0,Tue Jul 31 22:49:22 +0000 2018,1.0,0.0,0.0,5
-0.3612,Tue Jul 31 22:48:26 +0000 2018,0.889,0.111,0.0,6
-0.6486,Tue Jul 31 22:45:14 +0000 2018,0.791,0.209,0.0,7
0.5574,Tue Jul 31 22:42:19 +0000 2018,0.783,0.0,0.217,8
0.5719,Tue Jul 31 22:35:57 +0000 2018,0.773,0.0,0.227,9
0.0,Tue Jul 31 22:33:07 +0000 2018,1.0,0.0,0.0,10
0.6037,Tue Jul 31 22:28:34 +0000 2018,0.709,0.0,0.291,11
0.0,Tue Jul 31 22:26:55 +0000 2018,1.0,0.0,0.0,12
0.4404,Tue Jul 31 22:26:04 +0000 2018,0.847,0.0,0.153,13
0.0,Tue Jul 31 22:13:34 +0000 2018,1.0,0.0,0.0,14
-0.6908,Tue Jul 31 22:09:47 +0000 2018,0.725,0.275,0.0,15
0.1779,Tue Jul 31 21:53:04 +0000 2018,0.855,0.0,0.145,16
-0.5574,Tue Jul 31 21:43:04 +0000 2018,0.765,0.235,0.0,17
0.0,Tue Jul 31 21:39:06 +0000 2018,1.0,0.0,0.0,18
0.5859,Tue Jul 31 21:38:48 +0000 2018,0.769,0.0,0.231,19
-0.5423,Tue Jul 31 21:32:18 +0000 2018,0.809,0.191,0.0,20
0.0,Tue Jul 31 21:23:45 +0000 2018,1.0,0.0,0.0,21
0.7351,Tue Jul 31 21:16:32 +0000 2018,0.708,0.0,0.292,22
-0.5423,Tue Jul 31 21:05:41 +0000 2018,0.851,0.149,0.0,23
0.4404,Tue Jul 31 21:03:43 +0000 2018,0.884,0.0,0.116,24
0.0,Tue Jul 31 21:01:50 +0000 2018,1.0,0.0,0.0,25
0.2716,Tue Jul 31 21:01:08 +0000 2018,0.664,0.119,0.218,26
-0.5574,Tue Jul 31 20:54:24 +0000 2018,0.78,0.17,0.05,27
-0.3291,Tue Jul 31 20:52:22 +0000 2018,0.865,0.135,0.0,28
-0.128,Tue Jul 31 20:45:49 +0000 2018,0.919,0.081,0.0,29
0.8225,Tue Jul 31 20:45:03 +0000 2018,0.709,0.0,0.291,30
-0.2755,Tue Jul 31 20:33:24 +0000 2018,0.9,0.1,0.0,31
0.25,Tue Jul 31 20:31:32 +0000 2018,0.864,0.0,0.136,32
0.0,Tue Jul 31 20:21:58 +0000 2018,1.0,0.0,0.0,33
0.0,Tue Jul 31 20:06:27 +0000 2018,1.0,0.0,0.0,34
-0.5106,Tue Jul 31 19:58:10 +0000 2018,0.829,0.171,0.0,35
0.0,Tue Jul 31 19:50:52 +0000 2018,1.0,0.0,0.0,36
0.5719,Tue Jul 31 19:39:20 +0000 2018,0.802,0.0,0.198,37
-0.34,Tue Jul 31 19:35:06 +0000 2018,0.645,0.226,0.129,38
0.3182,Tue Jul 31 19:25:07 +0000 2018,0.867,0.0,0.133,39
0.0,Tue Jul 31 19:15:46 +0000 2018,1.0,0.0,0.0,40
0.7096,Tue Jul 31 19:09:29 +0000 2018,0.753,0.0,0.247,41
0.7579,Tue Jul 31 18:54:03 +0000 2018,0.723,0.0,0.277,42
0.34,Tue Jul 31 18:48:36 +0000 2018,0.854,0.0,0.146,43
-0.5267,Tue Jul 31 18:44:10 +0000 2018,0.88,0.12,0.0,44
-0.0258,Tue Jul 31 18:38:25 +0000 2018,0.736,0.134,0.13,45
0.0,Tue Jul 31 18:33:00 +0000 2018,1.0,0.0,0.0,46
0.0,Tue Jul 31 18:26:24 +0000 2018,1.0,0.0,0.0,47
0.0,Tue Jul 31 18:14:35 +0000 2018,1.0,0.0,0.0,48
-0.128,Tue Jul 31 18:03:12 +0000 2018,0.87,0.13,0.0,49
-0.5106,Tue Jul 31 17:50:39 +0000 2018,0.798,0.202,0.0,50
0.0,Tue Jul 31 17:38:07 +0000 2018,1.0,0.0,0.0,51
-0.6774,Tue Jul 31 17:25:15 +0000 2018,0.646,0.354,0.0,52
0.2023,Tue Jul 31 17:11:52 +0000 2018,0.909,0.0,0.091,53
0.0,Tue Jul 31 17:00:10 +0000 2018,1.0,0.0,0.0,54
-0.5106,Tue Jul 31 16:48:36 +0000 2018,0.809,0.191,0.0,55
-0.7579,Tue Jul 31 16:36:37 +0000 2018,0.629,0.371,0.0,56
0.3612,Tue Jul 31 16:22:54 +0000 2018,0.695,0.112,0.193,57
0.0,Tue Jul 31 16:08:26 +0000 2018,1.0,0.0,0.0,58
0.0,Tue Jul 31 15:55:54 +0000 2018,1.0,0.0,0.0,59
-0.128,Tue Jul 31 15:43:02 +0000 2018,0.87,0.13,0.0,60
0.0,Tue Jul 31 15:30:36 +0000 2018,1.0,0.0,0.0,61
-0.4588,Tue Jul 31 15:20:24 +0000 2018,0.7,0.3,0.0,62
0.0,Tue Jul 31 15:10:12 +0000 2018,1.0,0.0,0.0,63
-0.1779,Tue Jul 31 15:03:06 +0000 2018,0.904,0.096,0.0,64
0.0,Tue Jul 31 14:56:00 +0000 2018,1.0,0.0,0.0,65
0.0,Tue Jul 31 14:45:33 +0000 2018,1.0,0.0,0.0,66
0.0,Tue Jul 31 14:39:18 +0000 2018,1.0,0.0,0.0,67
0.0,Tue Jul 31 14:33:12 +0000 2018,1.0,0.0,0.0,68
0.0,Tue Jul 31 14:26:29 +0000 2018,1.0,0.0,0.0,69
0.0,Tue Jul 31 14:01:48 +0000 2018,1.0,0.0,0.0,70
