Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.6588,Tue Jul 31 23:22:09 +0000 2018,0.761,0.0,0.239,1
0.4404,Tue Jul 31 23:18:46 +0000 2018,0.775,0.0,0.225,2
0.7391,Tue Jul 31 23:17:42 +0000 2018,0.642,0.0,0.358,3
0.0,Tue Jul 31 23:14:37 +0000 2018,1.0,0.0,0.0,4
0.0,Tue Jul 31 23:11:47 +0000 2018,1.0,0.0,0.0,5
0.6249,Tue Jul 31 23:07:58 +0000 2018,0.709,0.0,0.291,6
0.0,Tue Jul 31 23:02:42 +0000 2018,1.0,0.0,0.0,7
-0.1779,Tue Jul 31 22:54:00 +0000 2018,0.669,0.197,0.134,8
0.5267,Tue Jul 31 22:48:03 +0000 2018,0.841,0.0,0.159,9
-0.765,Tue Jul 31 22:47:49 +0000 2018,0.645,0.355,0.0,10
0.5574,Tue Jul 31 22:47:21 +0000 2018,0.753,0.0,0.247,11
-0.2023,Tue Jul 31 22:42:16 +0000 2018,0.859,0.141,0.0,12
-0.5994,Tue Jul 31 22:35:11 +0000 2018,0.671,0.329,0.0,13
0.0,Tue Jul 31 22:28:44 +0000 2018,1.0,0.0,0.0,14
-0.5106,Tue Jul 31 22:25:05 +0000 2018,0.751,0.249,0.0,15
0.0,Tue Jul 31 22:22:12 +0000 2018,1.0,0.0,0.0,16
0.0,Tue Jul 31 22:19:26 +0000 2018,1.0,0.0,0.0,17
0.0,Tue Jul 31 22:17:27 +0000 2018,1.0,0.0,0.0,18
-0.34,Tue Jul 31 22:14:33 +0000 2018,0.769,0.231,0.0,19
0.0,Tue Jul 31 22:06:41 +0000 2018,1.0,0.0,0.0,20
0.0,Tue Jul 31 22:00:00 +0000 2018,1.0,0.0,0.0,21
-0.6808,Tue Jul 31 21:55:00 +0000 2018,0.789,0.211,0.0,22
0.0,Tue Jul 31 21:51:03 +0000 2018,1.0,0.0,0.0,23
0.0,Tue Jul 31 21:45:00 +0000 2018,1.0,0.0,0.0,24
0.4939,Tue Jul 31 21:38:00 +0000 2018,0.849,0.0,0.151,25
0.4588,Tue Jul 31 21:30:01 +0000 2018,0.612,0.122,0.266,26
0.4404,Tue Jul 31 21:21:27 +0000 2018,0.847,0.0,0.153,27
0.0,Tue Jul 31 21:15:00 +0000 2018,1.0,0.0,0.0,28
-0.6124,Tue Jul 31 21:11:43 +0000 2018,0.75,0.25,0.0,29
0.5719,Tue Jul 31 20:54:46 +0000 2018,0.783,0.0,0.217,30
-0.4404,Tue Jul 31 20:45:00 +0000 2018,0.818,0.182,0.0,31
0.0,Tue Jul 31 20:40:24 +0000 2018,1.0,0.0,0.0,32
0.5267,Tue Jul 31 20:36:13 +0000 2018,0.833,0.0,0.167,33
0.0,Tue Jul 31 20:33:36 +0000 2018,1.0,0.0,0.0,34
-0.0516,Tue Jul 31 20:31:11 +0000 2018,0.909,0.091,0.0,35
-0.6124,Tue Jul 31 20:22:00 +0000 2018,0.684,0.316,0.0,36
-0.743,Tue Jul 31 20:16:00 +0000 2018,0.636,0.364,0.0,37
0.2732,Tue Jul 31 20:10:00 +0000 2018,0.861,0.0,0.139,38
0.0,Tue Jul 31 20:03:01 +0000 2018,1.0,0.0,0.0,39
0.0,Tue Jul 31 20:02:12 +0000 2018,1.0,0.0,0.0,40
0.0,Tue Jul 31 19:57:20 +0000 2018,1.0,0.0,0.0,41
-0.8545,Tue Jul 31 19:56:49 +0000 2018,0.599,0.401,0.0,42
0.1725,Tue Jul 31 19:48:32 +0000 2018,0.711,0.124,0.165,43
0.0,Tue Jul 31 19:33:39 +0000 2018,1.0,0.0,0.0,44
0.0,Tue Jul 31 19:28:44 +0000 2018,1.0,0.0,0.0,45
0.0,Tue Jul 31 19:27:34 +0000 2018,1.0,0.0,0.0,46
0.4927,Tue Jul 31 19:18:42 +0000 2018,0.856,0.0,0.144,47
0.1531,Tue Jul 31 19:16:48 +0000 2018,0.78,0.096,0.124,48
0.0,Tue Jul 31 19:12:22 +0000 2018,1.0,0.0,0.0,49
0.0772,Tue Jul 31 19:04:28 +0000 2018,0.933,0.0,0.067,50
0.3182,Tue Jul 31 18:40:21 +0000 2018,0.887,0.0,0.113,51
-0.7506,Tue Jul 31 18:37:25 +0000 2018,0.654,0.346,0.0,52
-0.296,Tue Jul 31 18:35:33 +0000 2018,0.885,0.115,0.0,53
-0.5688,Tue Jul 31 18:33:14 +0000 2018,0.83,0.17,0.0,54
0.0,Tue Jul 31 18:28:03 +0000 2018,1.0,0.0,0.0,55
-0.4215,Tue Jul 31 18:17:00 +0000 2018,0.648,0.352,0.0,56
-0.296,Tue Jul 31 18:10:00 +0000 2018,0.611,0.228,0.161,57
0.0,Tue Jul 31 18:01:51 +0000 2018,1.0,0.0,0.0,58
0.0,Tue Jul 31 17:33:43 +0000 2018,1.0,0.0,0.0,59
0.0,Tue Jul 31 17:30:39 +0000 2018,1.0,0.0,0.0,60
0.0,Tue Jul 31 17:16:36 +0000 2018,1.0,0.0,0.0,61
0.0,Tue Jul 31 17:09:02 +0000 2018,1.0,0.0,0.0,62
0.0,Tue Jul 31 16:55:13 +0000 2018,1.0,0.0,0.0,63
0.0,Tue Jul 31 16:51:40 +0000 2018,1.0,0.0,0.0,64
-0.7783,Tue Jul 31 16:46:49 +0000 2018,0.618,0.382,0.0,65
0.6486,Tue Jul 31 16:39:05 +0000 2018,0.725,0.0,0.275,66
-0.128,Tue Jul 31 16:36:59 +0000 2018,0.889,0.111,0.0,67
0.0,Tue Jul 31 16:30:29 +0000 2018,1.0,0.0,0.0,68
0.0,Tue Jul 31 16:27:11 +0000 2018,1.0,0.0,0.0,69
0.3818,Tue Jul 31 16:17:42 +0000 2018,0.852,0.0,0.148,70
0.0,Tue Jul 31 16:11:07 +0000 2018,1.0,0.0,0.0,71
-0.5719,Tue Jul 31 15:57:05 +0000 2018,0.657,0.343,0.0,72
0.0,Tue Jul 31 15:44:26 +0000 2018,1.0,0.0,0.0,73
0.0,Tue Jul 31 15:41:54 +0000 2018,1.0,0.0,0.0,74
-0.4767,Tue Jul 31 15:36:46 +0000 2018,0.819,0.181,0.0,75
-0.4767,Tue Jul 31 15:31:33 +0000 2018,0.69,0.228,0.083,76
0.0,Tue Jul 31 15:29:03 +0000 2018,1.0,0.0,0.0,77
0.0,Tue Jul 31 15:25:00 +0000 2018,1.0,0.0,0.0,78
-0.5994,Tue Jul 31 15:14:18 +0000 2018,0.698,0.219,0.084,79
-0.1027,Tue Jul 31 15:13:51 +0000 2018,0.887,0.113,0.0,80
