Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.8957,Tue Jul 31 23:17:03 +0000 2018,0.64,0.36,0.0,1
0.0,Tue Jul 31 23:02:01 +0000 2018,1.0,0.0,0.0,2
0.4019,Tue Jul 31 22:56:04 +0000 2018,0.802,0.0,0.198,3
-0.2732,Tue Jul 31 22:44:45 +0000 2018,0.905,0.095,0.0,4
0.0,Tue Jul 31 22:32:02 +0000 2018,1.0,0.0,0.0,5
0.6908,Tue Jul 31 22:16:05 +0000 2018,0.778,0.0,0.222,6
-0.7579,Tue Jul 31 22:02:08 +0000 2018,0.679,0.264,0.057,7
0.1779,Tue Jul 31 21:47:07 +0000 2018,0.931,0.0,0.069,8
-0.5106,Tue Jul 31 21:32:04 +0000 2018,0.766,0.172,0.062,9
-0.25,Tue Jul 31 21:17:01 +0000 2018,0.913,0.087,0.0,10
0.0,Tue Jul 31 21:00:11 +0000 2018,1.0,0.0,0.0,11
-0.0258,Tue Jul 31 20:45:08 +0000 2018,0.942,0.058,0.0,12
0.0,Tue Jul 31 20:31:04 +0000 2018,1.0,0.0,0.0,13
0.0,Tue Jul 31 20:15:10 +0000 2018,1.0,0.0,0.0,14
0.2023,Tue Jul 31 20:00:13 +0000 2018,0.917,0.0,0.083,15
0.0,Tue Jul 31 19:45:10 +0000 2018,1.0,0.0,0.0,16
0.7783,Tue Jul 31 19:30:12 +0000 2018,0.625,0.0,0.375,17
0.0,Tue Jul 31 19:15:09 +0000 2018,1.0,0.0,0.0,18
-0.25,Tue Jul 31 19:00:07 +0000 2018,0.746,0.149,0.105,19
0.0,Tue Jul 31 18:45:07 +0000 2018,1.0,0.0,0.0,20
-0.296,Tue Jul 31 18:30:15 +0000 2018,0.879,0.121,0.0,21
-0.5719,Tue Jul 31 18:15:11 +0000 2018,0.812,0.188,0.0,22
-0.3182,Tue Jul 31 18:00:18 +0000 2018,0.897,0.103,0.0,23
0.0,Tue Jul 31 17:45:10 +0000 2018,1.0,0.0,0.0,24
0.4588,Tue Jul 31 17:30:09 +0000 2018,0.864,0.0,0.136,25
0.25,Tue Jul 31 17:15:04 +0000 2018,0.614,0.149,0.237,26
-0.2732,Tue Jul 31 17:05:08 +0000 2018,0.89,0.11,0.0,27
0.0,Tue Jul 31 16:50:03 +0000 2018,1.0,0.0,0.0,28
-0.5859,Tue Jul 31 16:35:04 +0000 2018,0.803,0.15,0.047,29
-0.4767,Tue Jul 31 16:21:57 +0000 2018,0.838,0.162,0.0,30
0.0,Tue Jul 31 16:15:06 +0000 2018,1.0,0.0,0.0,31
0.0,Tue Jul 31 16:00:18 +0000 2018,1.0,0.0,0.0,32
0.0,Tue Jul 31 15:50:05 +0000 2018,1.0,0.0,0.0,33
0.5574,Tue Jul 31 15:39:03 +0000 2018,0.805,0.0,0.195,34
0.0,Tue Jul 31 15:35:00 +0000 2018,1.0,0.0,0.0,35
0.0,Tue Jul 31 15:30:09 +0000 2018,1.0,0.0,0.0,36
0.0,Tue Jul 31 15:15:05 +0000 2018,1.0,0.0,0.0,37
0.4019,Tue Jul 31 15:00:14 +0000 2018,0.876,0.0,0.124,38
0.5423,Tue Jul 31 14:45:05 +0000 2018,0.791,0.0,0.209,39
0.0,Tue Jul 31 14:30:07 +0000 2018,1.0,0.0,0.0,40
0.0,Tue Jul 31 14:15:06 +0000 2018,1.0,0.0,0.0,41
0.5859,Tue Jul 31 14:00:09 +0000 2018,0.68,0.084,0.236,42
-0.5106,Tue Jul 31 13:45:06 +0000 2018,0.798,0.202,0.0,43
0.0,Tue Jul 31 13:30:08 +0000 2018,1.0,0.0,0.0,44
-0.296,Tue Jul 31 13:15:09 +0000 2018,0.855,0.145,0.0,45
0.0,Tue Jul 31 13:00:18 +0000 2018,1.0,0.0,0.0,46
-0.5255,Tue Jul 31 12:50:03 +0000 2018,0.738,0.193,0.068,47
-0.6486,Tue Jul 31 12:40:06 +0000 2018,0.791,0.209,0.0,48
-0.2732,Tue Jul 31 12:31:04 +0000 2018,0.89,0.11,0.0,49
0.4215,Tue Jul 31 12:15:04 +0000 2018,0.872,0.0,0.128,50
0.0,Tue Jul 31 11:44:07 +0000 2018,1.0,0.0,0.0,51
0.0959,Tue Jul 31 11:32:04 +0000 2018,0.759,0.114,0.128,52
0.0,Tue Jul 31 11:14:04 +0000 2018,1.0,0.0,0.0,53
0.1027,Tue Jul 31 11:00:12 +0000 2018,0.787,0.097,0.116,54
-0.3818,Tue Jul 31 10:46:00 +0000 2018,0.714,0.175,0.111,55
0.7506,Tue Jul 31 10:30:04 +0000 2018,0.714,0.0,0.286,56
-0.3384,Tue Jul 31 10:16:03 +0000 2018,0.741,0.162,0.097,57
0.0,Tue Jul 31 10:00:09 +0000 2018,1.0,0.0,0.0,58
0.0,Tue Jul 31 09:43:05 +0000 2018,1.0,0.0,0.0,59
-0.7096,Tue Jul 31 09:31:02 +0000 2018,0.763,0.237,0.0,60
-0.765,Tue Jul 31 09:14:05 +0000 2018,0.732,0.268,0.0,61
-0.8225,Tue Jul 31 09:00:03 +0000 2018,0.678,0.322,0.0,62
0.0,Tue Jul 31 08:45:03 +0000 2018,1.0,0.0,0.0,63
0.5719,Tue Jul 31 08:33:04 +0000 2018,0.837,0.0,0.163,64
-0.8176,Tue Jul 31 08:16:01 +0000 2018,0.737,0.263,0.0,65
0.1027,Tue Jul 31 08:02:04 +0000 2018,0.787,0.097,0.116,66
-0.5789,Tue Jul 31 07:47:02 +0000 2018,0.716,0.191,0.093,67
-0.4404,Tue Jul 31 07:32:04 +0000 2018,0.861,0.139,0.0,68
0.0,Tue Jul 31 07:17:06 +0000 2018,1.0,0.0,0.0,69
0.0,Tue Jul 31 07:02:00 +0000 2018,1.0,0.0,0.0,70
0.4019,Tue Jul 31 06:40:22 +0000 2018,0.876,0.0,0.124,71
0.2263,Tue Jul 31 06:22:36 +0000 2018,0.888,0.0,0.112,72
-0.7351,Tue Jul 31 06:04:37 +0000 2018,0.53,0.47,0.0,73
0.6124,Tue Jul 31 06:04:37 +0000 2018,0.84,0.0,0.16,74
0.5256,Tue Jul 31 05:48:21 +0000 2018,0.848,0.0,0.152,75
0.5777,Tue Jul 31 05:32:04 +0000 2018,0.874,0.0,0.126,76
-0.4019,Tue Jul 31 05:16:50 +0000 2018,0.816,0.184,0.0,77
0.1779,Tue Jul 31 04:59:04 +0000 2018,0.914,0.0,0.086,78
0.0,Tue Jul 31 04:42:03 +0000 2018,1.0,0.0,0.0,79
-0.3991,Tue Jul 31 04:22:05 +0000 2018,0.772,0.15,0.078,80
-0.5256,Tue Jul 31 04:02:02 +0000 2018,0.855,0.145,0.0,81
-0.5267,Tue Jul 31 03:59:36 +0000 2018,0.672,0.328,0.0,82
0.0,Tue Jul 31 03:47:01 +0000 2018,1.0,0.0,0.0,83
-0.3182,Tue Jul 31 03:32:05 +0000 2018,0.887,0.113,0.0,84
0.0,Tue Jul 31 03:17:02 +0000 2018,1.0,0.0,0.0,85
-0.6486,Tue Jul 31 03:02:05 +0000 2018,0.798,0.202,0.0,86
0.5023,Tue Jul 31 02:47:07 +0000 2018,0.817,0.0,0.183,87
-0.4588,Tue Jul 31 02:32:02 +0000 2018,0.85,0.15,0.0,88
-0.2641,Tue Jul 31 02:17:04 +0000 2018,0.648,0.199,0.153,89
0.0,Tue Jul 31 02:02:06 +0000 2018,1.0,0.0,0.0,90
-0.1027,Tue Jul 31 01:47:02 +0000 2018,0.924,0.076,0.0,91
-0.0516,Tue Jul 31 01:32:04 +0000 2018,0.826,0.091,0.083,92
0.2732,Tue Jul 31 01:17:02 +0000 2018,0.8,0.062,0.138,93
0.0,Tue Jul 31 01:03:10 +0000 2018,1.0,0.0,0.0,94
-0.296,Tue Jul 31 00:47:05 +0000 2018,0.901,0.099,0.0,95
-0.4019,Tue Jul 31 00:32:03 +0000 2018,0.881,0.119,0.0,96
0.8779,Tue Jul 31 00:17:02 +0000 2018,0.675,0.0,0.325,97
-0.296,Tue Jul 31 00:02:08 +0000 2018,0.901,0.099,0.0,98
0.0258,Mon Jul 30 23:47:05 +0000 2018,0.811,0.093,0.097,99
-0.7184,Mon Jul 30 23:32:03 +0000 2018,0.75,0.25,0.0,100
